,0
0,"Region: Zimbabwe (ZWE / 0)
center: [ 29.8514412  -19.00420419]"
1,"Region: Zambia (ZMB / 1)
center: [ 27.77475946 -13.45824152]"
2,"Region: Yemen (YEM / 2)
center: [47.54064362 15.93601151]"
3,"Region: Vietnam (VNM / 3)
center: [106.30119061  16.6517016 ]"
4,"Region: Venezuela (VEN / 4)
center: [-66.18692821   7.11852676]"
5,"Region: Vatican City (VAT / 5)
center: [12.43387177 41.90174985]"
6,"Region: Vanuatu (VUT / 6)
center: [166.8497772 -15.2254962]"
7,"Region: Uzbekistan (UZB / 7)
center: [63.13226554 41.75724044]"
8,"Region: Uruguay (URY / 8)
center: [-56.01807053 -32.79951534]"
9,"Region: Federated States of Micronesia (FSM / 9)
center: [158.23250738   6.88584942]"
10,"Region: Marshall Islands (MHL / 10)
center: [171.18636348   7.10593698]"
11,"Region: Northern Mariana Islands (MNP / 11)
center: [145.7437138   15.18093848]"
12,"Region: United States Virgin Islands (VIR / 12)
center: [-64.77162868  17.74128302]"
13,"Region: Guam (GUM / 13)
center: [144.76791022  13.44165626]"
14,"Region: American Samoa (ASM / 14)
center: [-170.71802575  -14.30445997]"
15,"Region: Puerto Rico (PRI / 15)
center: [-66.48210184  18.23040976]"
16,"Region: United States of America (USA / 16)
center: [-99.14386283  39.5265402 ]"
17,"Region: South Georgia and the South Sandwich Islands (SGS / 17)
center: [-36.6890392  -54.36443842]"
18,"Region: British Indian Ocean Territory (IOT / 18)
center: [72.44541229 -7.33059751]"
19,"Region: Saint Helena (SHN / 19)
center: [ -5.71618657 -15.95890522]"
20,"Region: Pitcairn Islands (PCN / 20)
center: [-128.31704202  -24.36500535]"
21,"Region: Anguilla (AIA / 21)
center: [-63.06498927  18.2239595 ]"
22,"Region: Falkland Islands (FLK / 22)
center: [-58.76051011 -51.74478573]"
23,"Region: Cayman Islands (CYM / 23)
center: [-81.28502392  19.32087382]"
24,"Region: Bermuda (BMU / 24)
center: [-64.7545589   32.31367802]"
25,"Region: British Virgin Islands (VGB / 25)
center: [-64.62140718  18.42299565]"
26,"Region: Turks and Caicos Islands (TCA / 26)
center: [-71.74140364  21.81169416]"
27,"Region: Montserrat (MSR / 27)
center: [-62.18518546  16.73941406]"
28,"Region: Jersey (JEY / 28)
center: [-2.12689938 49.21837377]"
29,"Region: Guernsey (GGY / 29)
center: [-2.57239064 49.46809761]"
30,"Region: Isle of Man (IMN / 30)
center: [-4.53873952 54.22418911]"
31,"Region: United Kingdom (GBR / 31)
center: [-2.50688775 53.93779797]"
32,"Region: United Arab Emirates (ARE / 32)
center: [54.30549346 23.90240885]"
33,"Region: Ukraine (UKR / 33)
center: [31.25272826 49.15968329]"
34,"Region: Uganda (UGA / 34)
center: [32.36907971  1.27469299]"
