,0
0," Zimbabwe (ZWE / 0)
center: [ 29.8514412  -19.00420419]"
1," Zambia (ZMB / 1)
center: [ 27.77475946 -13.45824152]"
2," Yemen (YEM / 2)
center: [47.54064362 15.93601151]"
3," Socotra Archipelago (-99 / 3)
center: [53.86769103 12.51723045]"
4," Vietnam (VNM / 4)
center: [106.30119061  16.6517016 ]"
5," Venezuela (VEN / 5)
center: [-66.18692821   7.11852676]"
6," Vatican City (VAT / 6)
center: [12.43387177 41.90174985]"
7," Vanuatu (VUT / 7)
center: [166.8497772 -15.2254962]"
8," Uzbekistan (UZB / 8)
center: [63.13226554 41.75724044]"
9," Uruguay (URY / 9)
center: [-56.01807053 -32.79951534]"
10," Federated States of Micronesia (FSM / 10)
center: [158.23250738   6.88584942]"
11," Marshall Islands (MHL / 11)
center: [171.18636348   7.10593698]"
12," Northern Mariana Islands (MNP / 12)
center: [145.7437138   15.18093848]"
13," United States Virgin Islands (VIR / 13)
center: [-64.77162868  17.74128302]"
14," Guam (GUM / 14)
center: [144.76791022  13.44165626]"
15," American Samoa (ASM / 15)
center: [-170.71802575  -14.30445997]"
16," Puerto Rico (PRI / 16)
center: [-66.48210184  18.23040976]"
17," Alaska (-99 / 17)
center: [-152.72908502   64.57880386]"
18," Hawaii (-99 / 18)
center: [-155.50958211   19.61205714]"
19," United States of America (-99 / 19)
center: [-99.14386283  39.5265402 ]"
20," South Sandwich Islands (-99 / 20)
center: [-26.34064282 -58.4270271 ]"
21," South Georgia (-99 / 21)
center: [-36.6890392  -54.36443842]"
22," Diego Garcia Navy Airport (-99 / 22)
center: [72.44541229 -7.33059751]"
23," Saint Helena (SHN / 23)
center: [ -5.71618657 -15.95890522]"
24," Ascension (-99 / 24)
center: [-14.36492017  -7.93375202]"
25," Pitcairn Islands (PCN / 25)
center: [-128.31704202  -24.36500535]"
26," Anguilla (AIA / 26)
center: [-63.06498927  18.2239595 ]"
27," Falkland Islands (FLK / 27)
center: [-58.76051011 -51.74478573]"
28," Cayman Islands (CYM / 28)
center: [-81.28502392  19.32087382]"
29," Bermuda (BMU / 29)
center: [-64.7545589   32.31367802]"
30," British Virgin Islands (VGB / 30)
center: [-64.62140718  18.42299565]"
31," Turks and Caicos Islands (TCA / 31)
center: [-71.74140364  21.81169416]"
32," Montserrat (MSR / 32)
center: [-62.18518546  16.73941406]"
33," Jersey (JEY / 33)
center: [-2.12689938 49.21837377]"
34," Guernsey (GGY / 34)
center: [-2.57239064 49.46809761]"
35," Isle of Man (IMN / 35)
center: [-4.53873952 54.22418911]"
36," Wales (-99 / 36)
center: [-3.73178686 52.30477561]"
37," Scotland (-99 / 37)
center: [-3.99792666 56.68483189]"
38," Northern Ireland (-99 / 38)
center: [-6.70336659 54.6122303 ]"
39," England (-99 / 39)
center: [-1.45981155 52.60400678]"
40," United Arab Emirates (ARE / 40)
center: [54.30549346 23.90240885]"
41," Ukraine (UKR / 41)
center: [31.25272826 49.15968329]"
42," Uganda (UGA / 42)
center: [32.36907971  1.27469299]"
43," Turkmenistan (TKM / 43)
center: [59.37250369 39.11558191]"
44," Turkey (TUR / 44)
center: [35.42202579 38.99070602]"
45," Tunisia (TUN / 45)
center: [ 9.54780538 34.12021576]"
46," Tobago (-99 / 46)
center: [-60.66740616  11.2500866 ]"
47," Trinidad (-99 / 47)
center: [-61.29302914  10.42109359]"
48," Tonga (TON / 48)
center: [-175.2171255   -21.16662063]"
49," Togo (TGO / 49)
center: [0.96232845 8.52531356]"
50," East Timor (-99 / 50)
center: [125.92295251  -8.80978673]"
51," Pante Makassar Subdistrict (-99 / 51)
center: [124.25322063  -9.32337495]"
52," Thailand (THA / 52)
center: [101.00644234  15.1341592 ]"
53," Zanzibar (-99 / 53)
center: [39.35490416 -6.13563477]"
54," Tanzania (TZA / 54)
center: [34.79814718 -6.27642123]"
55," Tajikistan (TJK / 55)
center: [71.01409752 38.52863583]"
56," Taiwan (TWN / 56)
center: [120.96208086  23.75185555]"
57," Syria (SYR / 57)
center: [38.50462453 35.02320992]"
58," Switzerland (CHE / 58)
center: [ 8.20867471 46.79785878]"
59," Sweden (SWE / 59)
center: [16.73499882 62.82517011]"
60," Eswatini (SWZ / 60)
center: [ 31.4819369  -26.55843045]"
61," Suriname (SUR / 61)
center: [-55.9123457    4.13055413]"
