,0
0," Zimbabwe (ZWE / 0)
center: [ 29.8514412  -19.00420419]"
1," Zambia (ZMB / 1)
center: [ 27.77475946 -13.45824152]"
2," Yemen (YEM / 2)
center: [47.54064362 15.93601151]"
3," Vietnam (VNM / 3)
center: [106.30119061  16.6517016 ]"
4," Venezuela (VEN / 4)
center: [-66.18692821   7.11852676]"
5," Vatican City (VAT / 5)
center: [12.43387177 41.90174985]"
6," Vanuatu (VUT / 6)
center: [166.8497772 -15.2254962]"
7," Uzbekistan (UZB / 7)
center: [63.13226554 41.75724044]"
8," Uruguay (URY / 8)
center: [-56.01807053 -32.79951534]"
9," Federated States of Micronesia (FSM / 9)
center: [158.23250738   6.88584942]"
10," Marshall Islands (MHL / 10)
center: [171.18636348   7.10593698]"
11," Northern Mariana Islands (MNP / 11)
center: [145.7437138   15.18093848]"
12," United States Virgin Islands (VIR / 12)
center: [-64.77162868  17.74128302]"
13," Guam (GUM / 13)
center: [144.76791022  13.44165626]"
14," American Samoa (ASM / 14)
center: [-170.71802575  -14.30445997]"
15," Puerto Rico (PRI / 15)
center: [-66.48210184  18.23040976]"
16," United States of America (USA / 16)
center: [-99.14386283  39.5265402 ]"
17," South Georgia and the South Sandwich Islands (SGS / 17)
center: [-36.6890392  -54.36443842]"
18," British Indian Ocean Territory (IOT / 18)
center: [72.44541229 -7.33059751]"
19," Saint Helena (SHN / 19)
center: [ -5.71618657 -15.95890522]"
20," Pitcairn Islands (PCN / 20)
center: [-128.31704202  -24.36500535]"
21," Anguilla (AIA / 21)
center: [-63.06498927  18.2239595 ]"
22," Falkland Islands (FLK / 22)
center: [-58.76051011 -51.74478573]"
23," Cayman Islands (CYM / 23)
center: [-81.28502392  19.32087382]"
24," Bermuda (BMU / 24)
center: [-64.7545589   32.31367802]"
25," British Virgin Islands (VGB / 25)
center: [-64.62140718  18.42299565]"
26," Turks and Caicos Islands (TCA / 26)
center: [-71.74140364  21.81169416]"
27," Montserrat (MSR / 27)
center: [-62.18518546  16.73941406]"
28," Jersey (JEY / 28)
center: [-2.12689938 49.21837377]"
29," Guernsey (GGY / 29)
center: [-2.57239064 49.46809761]"
30," Isle of Man (IMN / 30)
center: [-4.53873952 54.22418911]"
31," Wales (-99 / 31)
center: [-3.73178686 52.30477561]"
32," Scotland (-99 / 32)
center: [-3.99792666 56.68483189]"
33," Northern Ireland (-99 / 33)
center: [-6.70336659 54.6122303 ]"
34," England (-99 / 34)
center: [-1.45981155 52.60400678]"
35," United Arab Emirates (ARE / 35)
center: [54.30549346 23.90240885]"
36," Ukraine (UKR / 36)
center: [31.25272826 49.15968329]"
37," Uganda (UGA / 37)
center: [32.36907971  1.27469299]"
38," Turkmenistan (TKM / 38)
center: [59.37250369 39.11558191]"
39," Turkey (TUR / 39)
center: [35.42202579 38.99070602]"
40," Tunisia (TUN / 40)
center: [ 9.54780538 34.12021576]"
41," Trinidad and Tobago (TTO / 41)
center: [-61.29302914  10.42109359]"
42," Tonga (TON / 42)
center: [-175.2171255   -21.16662063]"
43," Togo (TGO / 43)
center: [0.96232845 8.52531356]"
44," East Timor (TLS / 44)
center: [125.92295251  -8.80978673]"
45," Thailand (THA / 45)
center: [101.00644234  15.1341592 ]"
46," Zanzibar (-99 / 46)
center: [39.35490416 -6.13563477]"
47," Tanzania (TZA / 47)
center: [34.79814718 -6.27642123]"
48," Tajikistan (TJK / 48)
center: [71.01409752 38.52863583]"
49," Taiwan (TWN / 49)
center: [120.96208086  23.75185555]"
50," Syria (SYR / 50)
center: [38.50462453 35.02320992]"
51," Switzerland (CHE / 51)
center: [ 8.20867471 46.79785878]"
52," Sweden (SWE / 52)
center: [16.73499882 62.82517011]"
53," Eswatini (SWZ / 53)
center: [ 31.4819369  -26.55843045]"
54," Suriname (SUR / 54)
center: [-55.9123457    4.13055413]"
55," South Sudan (SSD / 55)
center: [30.24790002  7.30877945]"
56," Sudan (SDN / 56)
center: [29.94046812 15.99035669]"
57," Sri Lanka (LKA / 57)
center: [80.70304734  7.60857536]"
58," Spain (ESP / 58)
center: [-3.56336525 40.39977281]"
59," South Korea (KOR / 59)
center: [127.87086099  36.46068804]"
60," South Africa (ZAF / 60)
center: [ 25.08068665 -28.99579436]"
61," Somalia (SOM / 61)
center: [45.70714487  4.75062876]"
