,0
0," Western Australia (AU-WA / 0)
center: [122.18041871 -25.46675414]"
1," Northern Territory (AU-NT / 1)
center: [133.37535131 -19.47638927]"
2," South Australia (AU-SA / 2)
center: [135.82731058 -30.08314227]"
3," Queensland (AU-QLD / 3)
center: [144.5386934 -22.5743701]"
4," Tasmania (AU-TAS / 4)
center: [146.59539434 -42.01712311]"
5," Victoria (AU-VIC / 5)
center: [144.30712195 -36.85528279]"
6," Australian Capital Territory (AU-ACT / 6)
center: [149.00366975 -35.49896277]"
7," Jervis Bay Territory (AU-X02~ / 7)
center: [150.67317073 -35.15430701]"
8," New South Wales (AU-NSW / 8)
center: [147.01991691 -32.16842618]"
9," Acre (BR-AC / 9)
center: [-70.47290222  -9.29837107]"
10," Rondônia (BR-RO / 10)
center: [-62.84499207 -10.91669403]"
11," Roraima (BR-RR / 11)
center: [-61.40527269   2.06560562]"
12," Amazonas (BR-AM / 12)
center: [-64.71811934  -4.18424148]"
13," Pará (BR-PA / 13)
center: [-53.26914677  -4.18191733]"
14," Mato Grosso do Sul (BR-MS / 14)
center: [-54.84608602 -20.33205406]"
15," Amapá (BR-AP / 15)
center: [-51.97999444   1.45561487]"
16," Mato Grosso (BR-MT / 16)
center: [-55.92641644 -12.96231453]"
17," Paraná (BR-PR / 17)
center: [-51.63321386 -24.63251462]"
18," Federal (BR-DF / 18)
center: [-47.78731032 -15.7705658 ]"
19," Goiás (BR-GO / 19)
center: [-49.60520395 -16.02195406]"
20," Tocantins (BR-TO / 20)
center: [-48.32542994 -10.1447369 ]"
21," São Paulo (BR-SP / 21)
center: [-48.73753108 -22.26173367]"
22," Maranhão (BR-MA / 22)
center: [-45.29481156  -5.10690469]"
23," Rio de Janeiro (BR-RJ / 23)
center: [-42.66507835 -22.18927736]"
24," Piauí (BR-PI / 24)
center: [-42.98838204  -7.40977813]"
25," Minas Gerais (BR-MG / 25)
center: [-44.67636716 -18.45137723]"
26," Espírito Santo (BR-ES / 26)
center: [-40.666557  -19.5674112]"
27," Bahia (BR-BA / 27)
center: [-41.70537987 -12.47470393]"
28," Ceará (BR-CE / 28)
center: [-39.62562392  -5.09813564]"
29," Sergipe (BR-SE / 29)
center: [-37.44464505 -10.57700634]"
30," Alagoas (BR-AL / 30)
center: [-36.61869491  -9.51594499]"
31," Rio Grande do Norte (BR-RN / 31)
center: [-36.68218882  -5.83913283]"
32," Pernambuco (BR-PE / 32)
center: [-37.99878085  -8.33151136]"
33," Paraíba (BR-PB / 33)
center: [-36.82578794  -7.11773793]"
34," Santa Catarina (BR-SC / 34)
center: [-50.50103697 -27.24923628]"
35," Rio Grande do Sul (BR-RS / 35)
center: [-53.31982258 -29.7355323 ]"
36," Alberta (CA-AB / 36)
center: [-114.50969896   55.16793445]"
37," British Columbia (CA-BC / 37)
center: [-124.60841108   54.96273717]"
38," Manitoba (CA-MB / 38)
center: [-97.43860348  54.91963806]"
39," New Brunswick (CA-NB / 39)
center: [-66.38758176  46.63158405]"
40," Newfoundland and Labrador (CA-NL / 40)
center: [-61.95421778  54.27088442]"
41," Nova Scotia (CA-NS / 41)
center: [-63.94837603  44.91348777]"
42," Northwest Territories (CA-NT / 42)
center: [-119.62567198   64.37126981]"
43," Nunavut (CA-NU / 43)
center: [-98.59545738  65.91323448]"
44," Ontario (CA-ON / 44)
center: [-85.83278192  50.06645414]"
45," Prince Edward Island (CA-PE / 45)
center: [-63.23960006  46.39998528]"
46," Quebec (CA-QC / 46)
center: [-71.93366619  53.7399432 ]"
47," Saskatchewan (CA-SK / 47)
center: [-105.89906427   54.41939241]"
48," Yukon (CA-YT / 48)
center: [-135.50901978   63.63312446]"
49," Alaska (US-AK / 49)
center: [-152.72907802   64.57880465]"
50," Alabama (US-AL / 50)
center: [-86.83084776  32.79505808]"
51," Arkansas (US-AR / 51)
center: [-92.44430834  34.90445378]"
52," Arizona (US-AZ / 52)
center: [-111.66017496   34.29157832]"
53," California (US-CA / 53)
center: [-119.60281828   37.24943878]"
54," Colorado (US-CO / 54)
center: [-105.53337298   39.00018356]"
55," Connecticut (US-CT / 55)
center: [-72.72549338  41.62693724]"
56," Washington (US-DC / 56)
center: [-77.01910069  38.91800275]"
57," Delaware (US-DE / 57)
center: [-75.50534276  38.99459123]"
58," Florida (US-FL / 58)
center: [-82.49969956  28.66973574]"
59," Georgia (US-GA / 59)
center: [-83.45762257  32.65992511]"
60," Hawaii (US-HI / 60)
center: [-155.50958007   19.61204876]"
61," Iowa (US-IA / 61)
center: [-93.49537024  42.08773083]"
62," Idaho (US-ID / 62)
center: [-114.65182803   44.39270599]"
63," Illinois (US-IL / 63)
center: [-89.1526855   40.12512357]"
64," Indiana (US-IN / 64)
center: [-86.28319378  39.91827128]"
65," Kansas (US-KS / 65)
center: [-98.36887813  38.48526042]"
66," Kentucky (US-KY / 66)
center: [-85.28499179  37.53185094]"
67," Louisiana (US-LA / 67)
center: [-92.01792469  31.08650337]"
68," Massachusetts (US-MA / 68)
center: [-71.82201941  42.27324431]"
69," Maryland (US-MD / 69)
center: [-76.80383881  39.06829614]"
70," Maine (US-ME / 70)
center: [-69.24262692  45.40377411]"
71," Michigan (US-MI / 71)
center: [-85.74024779  44.87543628]"
72," Minnesota (US-MN / 72)
center: [-94.19757893  46.34392436]"
73," Missouri (US-MO / 73)
center: [-92.49201452  38.38416885]"
74," Mississippi (US-MS / 74)
center: [-89.67094369  32.76509167]"
75," Montana (US-MT / 75)
center: [-109.62537887   47.03154016]"
76," North Carolina (US-NC / 76)
center: [-79.41412695  35.55827917]"
77," North Dakota (US-ND / 77)
center: [-100.4597362    47.44490432]"
78," Nebraska (US-NE / 78)
center: [-99.79096163  41.53125219]"
79," New Hampshire (US-NH / 79)
center: [-71.57936199  43.68840418]"
80," New Jersey (US-NJ / 80)
center: [-74.6655755   40.19854057]"
81," New Mexico (US-NM / 81)
center: [-106.11079181   34.42199771]"
82," Nevada (US-NV / 82)
center: [-116.65213977   39.35567353]"
83," New York (US-NY / 83)
center: [-75.75882586  43.05028249]"
84," Ohio (US-OH / 84)
center: [-82.71035089  40.4185862 ]"
85," Oklahoma (US-OK / 85)
center: [-97.51155138  35.5895172 ]"
86," Oregon (US-OR / 86)
center: [-120.54478662   43.940782  ]"
87," Pennsylvania (US-PA / 87)
center: [-77.84219473  40.89962674]"
88," Rhode Island (US-RI / 88)
center: [-71.59678393  41.70161883]"
89," South Carolina (US-SC / 89)
center: [-80.90027394  33.91939622]"
90," South Dakota (US-SD / 90)
center: [-100.22230111   44.44094016]"
91," Tennessee (US-TN / 91)
center: [-86.33938445  35.85341494]"
92," Texas (US-TX / 92)
center: [-99.35697936  31.50533861]"
93," Utah (US-UT / 93)
center: [-111.67420898   39.32751313]"
94," Virginia (US-VA / 94)
center: [-78.88527824  37.52814785]"
95," Vermont (US-VT / 95)
center: [-72.66637672  44.07599172]"
96," Washington (US-WA / 96)
center: [-120.41478103   47.37512486]"
97," Wisconsin (US-WI / 97)
center: [-89.73709377  44.64596564]"
98," West Virginia (US-WV / 98)
center: [-80.61117898  38.64713369]"
99," Wyoming (US-WY / 99)
center: [-107.53992132   43.00030535]"
100," Gansu (CN-GS / 100)
center: [100.92504308  37.82780077]"
101," Qinghai (CN-QH / 101)
center: [96.00255891 35.74956642]"
102," Guangxi (CN-GX / 102)
center: [108.77569023  23.83124061]"
103," Guizhou (CN-GZ / 103)
center: [106.87255182  26.81417997]"
104," Chongqing (CN-CQ / 104)
center: [107.8603021   30.05470171]"
105," Beijing (CN-BJ / 105)
center: [116.40670471  40.17319715]"
106," Fujian (CN-FJ / 106)
center: [117.97317927  26.08451383]"
107," Anhui (CN-AH / 107)
center: [117.22427063  31.81912316]"
108," Guangdong (CN-GD / 108)
center: [113.42927971  23.37266192]"
109," Tibet (CN-XZ / 109)
center: [88.1078516  31.68861516]"
110," Sikkim (IN-SK / 110)
center: [88.44610487 27.57090315]"
111," Xinjiang (CN-XJ / 111)
center: [85.18871424 41.09924807]"
112," Hainan (CN-HI / 112)
center: [109.74164105  19.20008917]"
113," Ningxia (CN-NX / 113)
center: [106.16201961  37.26780595]"
114," Shaanxi (CN-SN / 114)
center: [108.86321778  35.18188421]"
115," Shanxi (CN-SX / 115)
center: [112.28110025  37.56950818]"
116," Hubei (CN-HB / 116)
center: [112.26682931  30.97521444]"
117," Hunan (CN-HN / 117)
center: [111.69892599  27.61377795]"
118," Sichuan (CN-SC / 118)
center: [102.70353399  30.6145041 ]"
119," Yunnan (CN-YN / 119)
center: [101.47054287  24.97637886]"
120," Hebei (CN-HE / 120)
center: [116.11707604  39.54978753]"
121," Henan (CN-HA / 121)
center: [113.60663639  33.88369067]"
122," Liaoning (CN-LN / 122)
center: [122.60918579  41.2990514 ]"
123," Shandong (CN-SD / 123)
center: [118.1476771   36.34892656]"
124," Tianjin (CN-TJ / 124)
center: [117.31696019  39.30046303]"
125," Jiangxi (CN-JX / 125)
center: [115.71434298  27.61684466]"
126," Jiangsu (CN-JS / 126)
center: [119.43596872  32.97931835]"
127," Shanghai (CN-SH / 127)
center: [121.37692439  31.08770949]"
128," Zhejiang (CN-ZJ / 128)
center: [120.03830436  29.16740653]"
129," Jilin (CN-JL / 129)
center: [126.17244382  43.67826488]"
130," Inner Mongolia (CN-NM / 130)
center: [113.90653635  44.08092523]"
131," Heilongjiang (CN-HL / 131)
center: [127.74390468  47.87397808]"
132," Aceh (ID-AC / 132)
center: [96.92708814  4.31781643]"
133," East Kalimantan (ID-KI / 133)
center: [116.37084873   1.34140898]"
134," West Java (ID-JB / 134)
center: [107.60956331  -6.91574089]"
135," Central Java (ID-JT / 135)
center: [110.2125709   -7.26968453]"
136," Bengkulu (ID-BE / 136)
center: [102.37697127  -3.5364202 ]"
137," Banten (ID-BT / 137)
center: [106.11791907  -6.46241623]"
138," Jakarta (ID-JK / 138)
center: [106.85099351  -6.19839291]"
139," West Kalimantan (ID-KB / 139)
center: [ 1.1116989e+02 -8.5429867e-02]"
140," Lampung (ID-LA / 140)
center: [105.02572985  -4.91943294]"
141," South Sumatra (ID-SS / 141)
center: [104.18392909  -3.23653871]"
142," Bangka Belitung Islands (ID-BB / 142)
center: [105.98826192  -2.23375894]"
143," Bali (ID-BA / 143)
center: [115.13494014  -8.36193785]"
144," East Java (ID-JI / 144)
center: [112.63164822  -7.8228373 ]"
145," South Kalimantan (ID-KS / 145)
center: [115.38534728  -2.92904484]"
146," East Nusa Tenggara (ID-NT / 146)
center: [121.1556492   -8.59592451]"
147," South Sulawesi (ID-SN / 147)
center: [120.16817158  -3.59405793]"
148," West Sulawesi (ID-SR / 148)
center: [119.34757959  -2.46181853]"
149," Riau Islands (ID-KR / 149)
center: [108.21464915   3.93427881]"
150," Gorontalo (ID-GO / 150)
center: [122.3544029    0.68653926]"
151," Jambi (ID-JA / 151)
center: [102.75884653  -1.68583764]"
152," Central Kalimantan (ID-KT / 152)
center: [113.42890966  -1.59379733]"
153," West Papua (ID-PB / 153)
center: [133.15920859  -2.09792895]"
154," North Sumatra (ID-SU / 154)
center: [99.13599107  2.3234168 ]"
155," Riau (ID-RI / 155)
center: [101.7455878    0.45101909]"
156," North Sulawesi (ID-SA / 156)
center: [124.25264621   0.87380034]"
157," North Maluku (ID-MU / 157)
center: [128.01344955   0.86510319]"
158," West Sumatra (ID-SB / 158)
center: [100.62541687  -0.66256687]"
159," Yogyakarta (ID-YO / 159)
center: [110.45471849  -7.90035114]"
160," Maluku (ID-MA / 160)
center: [129.45338841  -3.1968572 ]"
161," West Nusa Tenggara (ID-NB / 161)
center: [117.85734895  -8.62755172]"
162," Southeast Sulawesi (ID-SG / 162)
center: [121.83548966  -3.81012602]"
163," Central Sulawesi (ID-ST / 163)
center: [121.10149323  -0.97811068]"
164," Papua (ID-PA / 164)
center: [138.70969276  -4.55622894]"
165," Telangana (IN-TG / 165)
center: [79.04947929 17.79715231]"
166," Ladakh (IN-LA / 166)
center: [77.61249892 33.89728443]"
167," Chandigarh (IN-CH / 167)
center: [76.77776077 30.73862162]"
